GUT_GENOME000001_00154	903805e7c8a1b17492ac16af758bac3b	83	Gene3D	G3DSA:3.40.109.10		2	82	4.3E-11	T	28-04-2019	IPR000415	Nitroreductase-like	GO:0016491	Reactome: R-HSA-209968
GUT_GENOME000001_00154	903805e7c8a1b17492ac16af758bac3b	83	SUPERFAMILY	SSF55469		8	81	1.07E-11	T	28-04-2019	IPR000415	Nitroreductase-like	GO:0016491	Reactome: R-HSA-209968
GUT_GENOME000001_00154	903805e7c8a1b17492ac16af758bac3b	83	Pfam	PF00881	Nitroreductase family	9	64	2.3E-6	T	28-04-2019	IPR029479	Nitroreductase		Reactome: R-HSA-209968
GUT_GENOME000001_00730	64a70dad74183eadbe02eed61d213625	464	Hamap	MF_01347	ATP synthase subunit beta [atpB].	2	463	58.616	T	28-04-2019	IPR005722	ATP synthase, F1 complex, beta subunit	GO:0015986|GO:0045261|GO:0046933	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980|Reactome: R-HSA-1268020|Reactome: R-HSA-163210|Reactome: R-HSA-2151201|Reactome: R-HSA-8949613
GUT_GENOME000001_00730	64a70dad74183eadbe02eed61d213625	464	Pfam	PF02874	ATP synthase alpha/beta family, beta-barrel domain	7	75	4.5E-21	T	28-04-2019	IPR004100	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain	GO:0046034|GO:1902600	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
GUT_GENOME000001_00730	64a70dad74183eadbe02eed61d213625	464	TIGRFAM	TIGR01039	atpD: ATP synthase F1, beta subunit	4	462	7.6E-259	T	28-04-2019	IPR005722	ATP synthase, F1 complex, beta subunit	GO:0015986|GO:0045261|GO:0046933	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980|Reactome: R-HSA-1268020|Reactome: R-HSA-163210|Reactome: R-HSA-2151201|Reactome: R-HSA-8949613
GUT_GENOME000001_00730	64a70dad74183eadbe02eed61d213625	464	Gene3D	G3DSA:2.40.10.170		1	77	7.8E-30	T	28-04-2019
GUT_GENOME000001_00730	64a70dad74183eadbe02eed61d213625	464	Gene3D	G3DSA:1.10.1140.10		348	464	2.5E-56	T	28-04-2019	IPR024034	ATPase, F1/V1 complex, beta/alpha subunit, C-terminal		KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
GUT_GENOME000001_00730	64a70dad74183eadbe02eed61d213625	464	Gene3D	G3DSA:3.40.50.300		78	347	2.2E-117	T	28-04-2019
GUT_GENOME000001_00730	64a70dad74183eadbe02eed61d213625	464	SUPERFAMILY	SSF47917		348	462	1.83E-52	T	28-04-2019
GUT_GENOME000001_00730	64a70dad74183eadbe02eed61d213625	464	SUPERFAMILY	SSF52540		79	350	3.79E-94	T	28-04-2019	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
